,a0.surv,bc.surv,a1.surv.one,a1.surv.two,a1.surv.three,a1.surv.four,aS.surv.siteA,aS.surv.siteB,aS.surv.siteC,aS.surv.siteD,aS.surv.siteE,a0.gr,bc.gr,a1.gr.one,a1.gr.two,a1.gr.three,a1.gr.four,bcTSF.gr.one,bcTSF.gr.two,bcTSF.gr.three,bcTSF.gr.four,aS.gr.siteA,aS.gr.siteB,aS.gr.siteC,aS.gr.siteD,aS.gr.siteE,a0.sds,a1.sds.one,a1.sds.two,a1.sds.three,a1.sds.four,aS.sds.siteA,aS.sds.siteB,aS.sds.siteC,aS.sds.siteD,aS.sds.siteE,a0.fl,bc.fl,a1.fl.two,a1.fl.three,a1.fl.four,bcTSF.fl.two,bcTSF.fl.three,bcTSF.fl.four,aS.fl.siteA,aS.fl.siteB,aS.fl.siteC,aS.fl.siteD,aS.fl.siteE,a0.fs,bc.fs,a1.fs.two,a1.fs.three,a1.fs.four,aS.fs.siteA,aS.fs.siteB,aS.fs.siteC,aS.fs.siteD,aS.fs.siteE,a0.fps,bc.fps,a1.fps.two,a1.fps.three,a1.fps.four,aS.fps.siteA,aS.fps.siteB,aS.fps.siteC,aS.fps.siteD,aS.fps.siteE,a0.goCont,a1.goCont.burned,a1.goCont.unburned,aS.goCont.1,aS.goCont.2,aS.goCont.3,aS.goCont.4,aS.goCont.5,aS.goCont.6,aS.goCont.7,a0.staySB,a1.staySB.burned,a1.staySB.unburned,aS.staySB.1,aS.staySB.2,aS.staySB.3,aS.staySB.4,aS.staySB.5,aS.staySB.6,aS.staySB.7,a0.outSB,a1.outSB.burned,a1.outSB.unburned,aS.outSB.1,aS.outSB.2,aS.outSB.3,aS.outSB.4,aS.outSB.5,aS.outSB.6,aS.outSB.7
1,-3.022595,0.669432,1.888754,1.18043,-1.796808,-1.272376,0.534057,0.763552,0.211884,-0.209698,-1.299796,2.351992,0.679715,1.004794,-0.13424,-1.257177,0.386623,-0.016212,-0.044094,0.204933,-0.144627,-0.223136,0.045596,0.169673,-0.318614,0.326481,3.873487,-0.7551,0.432792,0.207137,0.115172,-0.140084,-0.307651,-0.32475,-0.197131,0.969616,-9.944434,1.748099,-5.571507,4.163413,1.408094,0.68009,-0.656085,-0.024005,0.871093,-0.087362,-0.059919,-0.750388,0.026575,-3.278065,0.604767,-0.512528,0.354859,0.157669,0.310822,-0.200747,0.275741,-0.065289,-0.320526,-0.151333,0.255444,0.208957,0.001469,-0.210426,-0.048518,-0.058739,-0.096582,-0.020236,0.224074,-2.407016,0.535556,-0.535556,0.290629,0.208915,-0.095938,-0.228574,0.024883,-0.193461,-0.006455,1.160092,-0.71294,0.71294,-0.393501,-0.516389,-0.017941,0.094503,-0.371169,0.440347,0.76415,-3.198689,0.258312,-0.258312,-0.090052,0.250621,-0.460887,-0.034669,0.722472,0.016514,-0.404
2,-3.208891,0.705541,1.999017,1.476628,-1.860903,-1.614741,0.85895,0.552662,0.383657,-0.39415,-1.401119,2.486859,0.632756,1.134515,-0.558211,-0.720487,0.144182,-0.096152,0.044158,0.120988,-0.068993,-0.312997,-0.137306,0.184912,-0.233294,0.498685,3.829182,-0.64541,0.240442,0.126442,0.278526,-0.034938,-0.250491,-0.381584,-0.250619,0.917632,-9.558061,1.637046,-6.070782,5.173274,0.897508,0.775483,-0.786505,0.011022,0.898306,-0.290505,0.094047,-0.620655,-0.081194,-3.52344,0.658128,-0.484867,0.387766,0.097101,0.318656,-0.15209,0.220475,-0.168241,-0.2188,-0.191684,0.27296,0.319537,-0.06572,-0.253817,-0.055718,0.043746,-0.087337,-0.032191,0.1315,-2.853092,0.774604,-0.774604,-0.049613,0.000623,-0.008887,-0.003807,0.033757,-0.005736,0.033664,1.09994,-0.670872,0.670872,-0.252414,-0.43234,-0.173948,-0.1562,-0.159708,0.541953,0.632658,-3.150814,0.132261,-0.132261,-0.619364,-0.028355,-0.469782,0.343963,0.804839,-0.026109,-0.005192
3,-3.028453,0.699973,1.914159,1.124932,-1.595691,-1.4434,0.710964,0.728122,0.065464,-0.305049,-1.199501,2.344248,0.658375,1.288347,-0.521341,-0.724435,-0.042571,-0.109834,0.032574,0.110076,-0.032817,-0.19594,-0.059347,0.084351,-0.244807,0.415743,3.853311,-0.689734,0.243719,0.15103,0.294984,-0.009976,-0.281197,-0.503103,-0.233763,1.028039,-9.709915,1.704036,-4.007081,4.016608,-0.009527,0.396912,-0.574621,0.177709,0.828397,0.086863,-0.064977,-0.503967,-0.346316,-3.64899,0.684971,-0.603379,0.419322,0.184057,0.07843,0.01681,0.063143,-0.081499,-0.076884,-0.333099,0.285277,0.206375,-0.008187,-0.198188,-0.10028,0.003199,-0.048398,-0.00335,0.148829,-2.750397,0.841105,-0.841105,0.196845,0.110891,-0.132871,0.217367,0.247983,-0.285206,-0.35501,1.052153,-0.64461,0.64461,-0.292408,-0.398921,-0.011169,-0.174783,-0.066123,0.545606,0.397799,-3.042363,0.521027,-0.521027,-0.262963,0.338153,-0.945968,0.503845,1.021489,-0.14805,-0.506506
4,-3.012944,0.668392,1.703125,1.200234,-1.688196,-1.215163,0.355543,1.121651,0.056254,-0.120418,-1.413031,2.154728,0.6946,0.973515,-0.134354,-1.078324,0.239163,-0.035514,-0.067643,0.149659,-0.046502,-0.531828,-0.221738,0.285883,-0.080417,0.548099,3.910941,-0.605445,0.40378,0.199641,0.002025,0.024514,-0.248905,-0.197565,-0.362815,0.78477,-9.459602,1.639314,-4.943059,4.568364,0.374695,0.572347,-0.704181,0.131834,0.89193,0.198707,-0.137822,-0.517213,-0.435601,-3.40504,0.636827,-0.359595,0.196365,0.163229,0.255683,-0.128852,0.269451,0.005128,-0.401411,-0.288739,0.280209,0.186515,-0.06555,-0.120964,-0.083278,-0.171096,-0.022401,-0.022339,0.299115,-2.590642,0.64121,-0.64121,0.122016,0.087866,-0.050539,-0.008545,0.06656,0.015062,-0.232421,1.110264,-0.694198,0.694198,-0.124051,-0.407114,0.138399,-0.164889,-0.139716,0.39047,0.3069,-3.250173,0.198226,-0.198226,-0.369041,0.152764,0.234198,0.016473,0.856422,0.01054,-0.901356
5,-2.647781,0.599267,1.855832,1.319176,-1.876071,-1.298937,0.576684,1.248174,0.042483,-0.315575,-1.551766,2.075079,0.701853,1.204295,-0.014561,-1.650604,0.46087,-0.083316,-0.070628,0.25938,-0.105436,-0.447496,-0.13599,0.101149,-0.114109,0.596446,4.020257,-0.719154,0.416234,0.205051,0.097869,0.165875,-0.184446,-0.409438,-0.383223,0.811232,-8.796772,1.520707,-4.738508,4.184737,0.553771,0.589328,-0.656573,0.067245,0.929561,-0.265428,0.102098,-0.759477,-0.006754,-3.884127,0.70272,-0.34538,0.318427,0.026953,0.430758,-0.251218,0.178657,0.023177,-0.381373,-0.096086,0.249113,0.290877,-0.0321,-0.258777,0.029337,-0.100308,-0.175016,0.03024,0.215748,-2.581563,0.587819,-0.587819,0.224802,-0.168976,-0.12518,-0.017595,0.125088,-0.043496,0.005358,1.069296,-0.56388,0.56388,-0.129907,-0.389299,0.020564,-0.103265,-0.144371,0.508094,0.238184,-3.088387,0.276677,-0.276677,-0.163914,0.017535,-0.672005,0.313953,0.623449,-0.003245,-0.115772
6,-3.440426,0.711124,1.920095,0.854632,-1.920508,-0.854219,0.274223,0.604028,0.220524,0.156417,-1.255192,2.196051,0.688212,1.531947,-0.217788,-1.179831,-0.134328,-0.142031,-0.008459,0.191328,-0.040839,-0.046814,-0.059027,0.138915,-0.333006,0.299932,3.897592,-0.820216,0.231657,0.303421,0.285138,-0.074733,-0.488715,-0.502738,-0.142378,1.208565,-8.022061,1.385196,-4.374773,4.170356,0.204417,0.501794,-0.64479,0.142995,0.905829,-0.246813,-0.006514,-0.497268,-0.155233,-3.895545,0.711093,-0.564245,0.415855,0.14839,0.138439,-0.359585,0.255337,-0.004395,-0.029796,-0.346082,0.28535,0.192366,-0.053437,-0.138929,-0.071386,-0.061543,-0.05856,-0.017334,0.208822,-2.617078,0.692345,-0.692345,0.153986,-0.037395,-0.183244,0.067618,0.079372,-0.141346,0.061009,1.037007,-0.697689,0.697689,-0.366492,-0.266666,-0.034051,-0.149346,0.002299,0.371184,0.443071,-3.181045,0.291438,-0.291438,0.019777,-0.062744,-0.554478,0.64565,0.931284,-0.243129,-0.736361
7,-3.076006,0.635743,1.55383,1.104197,-1.732658,-0.925369,0.273336,0.61461,-0.03477,0.153589,-1.006766,2.331504,0.660806,1.425513,-0.403571,-0.990975,-0.030966,-0.150893,0.013855,0.162612,-0.025573,-0.321983,0.039172,0.108547,-0.257565,0.431828,3.873886,-0.792819,0.243205,0.21125,0.338363,-0.094687,-0.263232,-0.519139,-0.121488,0.998546,-9.081192,1.557438,-5.052088,3.840954,1.211134,0.617583,-0.567977,-0.049605,1.090056,-0.387565,-0.008601,-0.525147,-0.168743,-3.235894,0.599874,-0.56358,0.338158,0.225422,0.113936,-0.512313,0.484957,0.066891,-0.15347,0.190911,0.210738,0.190902,-0.07552,-0.115382,-0.193214,0.034185,-0.035024,-0.01308,0.207133,-2.440141,0.805238,-0.805238,0.183633,0.301359,-0.117544,-0.199398,0.122244,0.030662,-0.320955,1.057453,-0.731081,0.731081,-0.247928,-0.53499,-0.029733,0.122906,-0.072215,0.444673,0.317287,-2.916727,0.359934,-0.359934,-0.641256,-0.124085,-0.387512,0.666139,0.353526,0.317686,-0.184499
8,-3.327622,0.692437,1.869594,1.087677,-1.682896,-1.274375,0.66298,0.720062,0.129919,0.019097,-1.532057,2.230855,0.654051,1.510544,-0.25559,-1.303807,0.048853,-0.183853,-0.021181,0.214656,-0.009622,-0.276303,-0.3621,0.060187,-0.09534,0.673556,3.939724,-0.704001,0.285847,0.269474,0.14868,0.091737,-0.262614,-0.438194,-0.290933,0.900004,-9.455939,1.663819,-5.170926,4.114041,1.056885,0.593998,-0.611624,0.017627,0.936386,-0.098598,-0.220495,-0.739968,0.122676,-3.969565,0.732417,-0.429594,0.392799,0.036795,0.345315,-0.313414,0.080113,0.024251,-0.136264,-0.047894,0.23896,0.248384,-0.067374,-0.181011,-0.030587,-0.036289,-0.077827,-0.043789,0.188491,-2.455221,0.618941,-0.618941,0.328934,0.01531,-0.198402,0.13452,-0.008728,-0.080246,-0.191387,1.049738,-0.665364,0.665364,-0.301666,-0.397944,0.018276,-0.028203,-0.249637,0.527756,0.431417,-2.923582,0.490381,-0.490381,-0.28544,-0.248764,0.015362,0.569887,0.413936,-0.227713,-0.237268
9,-3.325898,0.671794,1.816612,1.121989,-2.03051,-0.908091,0.435263,0.679801,0.28813,0.079962,-1.483156,2.338748,0.657832,1.245978,-0.478309,-0.542301,-0.225367,-0.10691,0.014658,0.084536,0.007716,-0.255114,-0.341372,0.180805,-0.190614,0.606294,3.959035,-0.517188,0.589665,-0.011676,-0.0608,0.085125,-0.032645,-0.221773,-0.498563,0.667857,-8.417363,1.485082,-3.085389,3.047419,0.03797,0.283543,-0.441927,0.158383,0.866957,-0.027809,-0.056397,-0.77781,-0.004941,-3.454457,0.633728,-0.363939,0.261741,0.102198,0.322795,-0.378323,0.433389,-0.001747,-0.376114,0.118264,0.221158,0.199006,-0.024717,-0.174289,-0.120132,-0.039053,-0.104235,-0.037013,0.300433,-2.511205,0.688717,-0.688717,0.077292,0.024811,-0.026012,-0.006774,-0.061517,0.014631,-0.022432,0.933656,-0.640102,0.640102,-0.375608,-0.256329,-0.06746,-0.186603,-0.137382,0.647539,0.375843,-3.096395,0.322354,-0.322354,-0.671412,0.472408,-0.478117,0.319933,0.652274,0.071801,-0.366887
10,-3.18839,0.70993,1.816046,1.195073,-1.881457,-1.129662,0.34238,0.885914,0.161643,-0.113942,-1.275995,2.360835,0.662873,1.392644,-0.086499,-1.315827,0.009682,-0.138645,-0.04437,0.224569,-0.041554,-0.34336,0.100543,-0.000121,-0.275649,0.518587,3.88153,-0.750191,0.309011,0.244055,0.197125,0.073531,-0.466439,-0.421269,-0.170288,0.984466,-9.428224,1.637716,-6.011136,4.378704,1.632432,0.77753,-0.644342,-0.133188,0.89787,-0.354532,0.016237,-0.733265,0.173691,-3.537051,0.658027,-0.449164,0.21446,0.234704,0.150379,-0.299514,0.29136,-0.029116,-0.11311,0.369697,0.171908,0.212064,-0.056417,-0.155647,-0.195135,-0.113298,0.059464,-0.046094,0.295063,-2.507636,0.559633,-0.559633,0.09729,0.03383,0.049092,-0.211046,0.127694,-0.030784,-0.066077,1.109561,-0.673637,0.673637,-0.169303,-0.521381,0.096786,-0.132827,-0.109015,0.361301,0.474438,-2.991923,0.304262,-0.304262,-0.162787,0.222071,0.032175,0.188669,0.348105,-0.02109,-0.607144
